metric_id,name,area,metric_type,grain,formula,source,dimensions,owner,decision,guardrail,cadence
EXE-001,Servicios de calidad económica,Executive,outcome,Trip,"COUNT(trip eligible AND delivery_complete=true AND on_time=true AND severe_attributable_incident=false AND pod_accepted=true AND cost_complete=true) / COUNT(completed eligible trip)",fact_trip;fact_trip_stop;fact_case;fact_cost,tenant|legal_entity|customer|lane|period,COO,Salud integral,Mostrar cada condición por separado,Weekly
EXE-002,Net revenue,Executive,outcome,Invoice line,"SUM(issued_charge_net_amount - attributable_credit_note_amount) excluding transferred taxes",fact_invoice_line,tenant|legal_entity|customer|service|period,CFO,Crecimiento y mezcla,Reconciliar al ledger,Daily/Monthly
EXE-003,Contribution margin,Executive,outcome,Trip/order/customer,"SUM(net_revenue) - SUM(direct_variable_cost + attributable_operating_cost)",fact_invoice_line;fact_cost,tenant|legal_entity|customer|trip|lane|period,CFO,Precio y cartera,Mostrar cost completeness,Daily/Monthly
EXE-004,Contribution margin percent,Executive,outcome,Same as EXE-003,"contribution_margin / net_revenue; NULL when net_revenue=0",semantic metrics,tenant|customer|lane|period,CFO,Mezcla rentable,No usar sin monto y cobertura,Weekly/Monthly
EXE-005,Customer concentration,Executive,guardrail,Customer-period,"MAX(customer_net_revenue) / SUM(all_customer_net_revenue)",fact_invoice_line,tenant|legal_entity|period,CEO,Riesgo de concentración,Mostrar top5 y margen,Monthly
EXE-006,Forecast accuracy,Executive,driver,Metric-horizon,"1 - ABS(actual_value - frozen_forecast_value) / MAX(ABS(actual_value); epsilon)",fact_forecast;semantic metrics,tenant|metric|horizon|period,FP&A,Calibrar plan,Mostrar forecast bias,Monthly
COM-001,Win rate,Commercial,outcome,Quote decision,"COUNT(accepted_quote_version) / COUNT(quote_version with terminal accepted or rejected)",fact_quote,tenant|seller|customer_segment|service|period,Commercial Director,Pipeline y propuesta,No incluir expiradas sin decisión,Weekly
COM-002,Quote turnaround p50,Commercial,driver,Quote version,"MEDIAN(sent_at - request_complete_at)",fact_quote,tenant|seller|service|period,Pricing Lead,Capacidad de respuesta,Mostrar p90 y calidad de datos,Weekly
COM-003,Quote turnaround p90,Commercial,guardrail,Quote version,"PERCENTILE_90(sent_at - request_complete_at)",fact_quote,tenant|seller|service|period,Pricing Lead,Backlog comercial,Excluir solicitudes incompletas,Weekly
COM-004,Contracted margin percent,Commercial,outcome,Accepted quote version,"(quoted_revenue - quoted_cost) / quoted_revenue; NULL when revenue=0",fact_quote,tenant|customer|lane|service|period,Pricing Lead,Aprobación de precio,Conservar cost snapshot,Per quote/Weekly
COM-005,Price realization,Commercial,outcome,Invoice line vs contracted charge,"SUM(actual_net_charge) / SUM(contracted_charge_for_same_quantity_and_accessorial_scope)",fact_invoice_line;fact_contract_charge,tenant|customer|lane|charge_type|period,Commercial Director,Fuga de precio,Separar cambio de alcance,Monthly
COM-006,Volume attainment,Commercial,driver,Contract-period,"executed_contract_volume / committed_volume_adjusted_for_approved_change",fact_transport_order;dim_contract,tenant|customer|contract|period,Account Owner,Capacidad y negociación,Mostrar unidad de volumen,Weekly/Monthly
COM-007,Credit utilization,Commercial,guardrail,Customer legal entity,"credit_exposure / active_credit_limit; NULL when limit=0",fact_receivable;fact_unbilled_commitment;dim_customer,tenant|legal_entity|customer,Credit Owner,Bloqueo o expansión,Exposición incluye no facturado comprometido,Daily
OPS-001,OTIF,Operations,outcome,Delivery,"COUNT(eligible delivery complete_in_full=true AND completed_at<=window_end) / COUNT(eligible completed delivery)",fact_trip_stop;fact_shipment_item,tenant|customer|lane|site|carrier|period,COO,Servicio contractual,Separar on-time e in-full,Daily/Weekly
OPS-002,On-time pickup,Operations,driver,Pickup stop,"COUNT(eligible pickup with arrival_at<=window_end) / COUNT(eligible pickup)",fact_trip_stop,tenant|customer|origin|carrier|period,Operations Manager,Planeación origen,Mostrar early arrivals y dwell,Daily
OPS-003,On-time delivery,Operations,driver,Delivery stop,"COUNT(eligible delivery with completion_at<=window_end) / COUNT(eligible delivery)",fact_trip_stop,tenant|customer|destination|carrier|period,Operations Manager,Servicio destino,No cambiar ventana sin aprobación,Daily
OPS-004,In-full delivery,Operations,driver,Delivery item,"SUM(accepted_delivered_quantity) / SUM(planned_delivery_quantity)",fact_shipment_item,tenant|customer|product|lane|period,Operations Manager,Calidad de entrega,Normalizar unidad de medida,Daily
OPS-005,Dwell time p50,Operations,driver,Stop execution,"MEDIAN(departure_at - arrival_at)",fact_trip_stop,tenant|customer|location|stop_type|period,Operations Manager,Esperas y accesoriales,Excluir tiempo atribuible documentado por política,Daily/Weekly
OPS-006,Dwell time p90,Operations,guardrail,Stop execution,"PERCENTILE_90(departure_at - arrival_at)",fact_trip_stop,tenant|customer|location|stop_type|period,Operations Manager,Excepciones de espera,Mostrar cobertura tracking,Daily/Weekly
OPS-007,Empty distance percent,Operations,outcome,Trip segment,"SUM(empty_km) / SUM(total_reliable_km)",fact_trip_segment,tenant|vehicle|carrier|lane|period,Planning Lead,Consolidación y red,Mostrar km sin clasificación,Weekly
OPS-008,Weight utilization,Operations,driver,Loaded segment,"SUM(actual_weight * loaded_km) / SUM(vehicle_weight_capacity * loaded_km)",fact_trip_segment,tenant|vehicle_type|lane|customer|period,Planning Lead,Capacidad física,No combinar con volumen,Weekly
OPS-009,Volume utilization,Operations,driver,Loaded segment,"SUM(actual_volume * loaded_km) / SUM(vehicle_volume_capacity * loaded_km)",fact_trip_segment,tenant|vehicle_type|lane|customer|period,Planning Lead,Capacidad física,No combinar con peso,Weekly
OPS-010,Exception rate,Operations,guardrail,Trip,"COUNT(started trip with at least one material exception) / COUNT(started trip)",fact_trip;fact_case,tenant|customer|lane|exception_type|period,Control Tower Lead,Prioridad operativa,Taxonomía y materialidad versionadas,Daily
OPS-011,First-attempt delivery,Operations,outcome,Delivery,"COUNT(eligible delivery completed on attempt_number=1) / COUNT(eligible delivery)",fact_trip_stop,tenant|customer|destination|period,COO,Calidad de plan,Excluir devoluciones planificadas,Weekly
OPS-012,Operational close cycle,Operations,driver,Trip,"operationally_closed_at - delivered_at",fact_trip,tenant|branch|dispatcher|period,Operations Manager,Cierre y facturabilidad,Mostrar p50 y p90,Daily
OPS-013,ETA mean absolute error,Operations,quality,ETA prediction,"AVG(ABS(actual_arrival_at - predicted_arrival_at)) for prediction frozen at declared horizon",fact_eta_prediction;fact_trip_stop,tenant|provider|horizon|lane|period,Data/Operations,Calibrar ETA,Separar missing predictions,Weekly
FLT-001,Technical availability,Fleet,outcome,Resource-hour,"SUM(eligible_available_hours) / SUM(planned_service_hours)",fact_resource_day,tenant|asset|asset_type|site|period,Fleet Manager,Capacidad y renovación,Distinguir disponibilidad de elegibilidad,Daily/Weekly
FLT-002,Eligible availability,Fleet,outcome,Resource-hour,"SUM(hours available AND all_hard_eligibility=true) / SUM(planned_service_hours)",fact_resource_day;fact_credential,tenant|asset|site|period,Fleet Manager,Planeación segura,Mostrar causa de inelegibilidad,Daily
FLT-003,PM compliance,Fleet,driver,Preventive task,"COUNT(task completed before due_threshold) / COUNT(task reaching due_threshold in period)",fact_maintenance_task,tenant|asset_type|site|period,Maintenance Manager,Prevención,No mover umbral retroactivamente,Weekly
FLT-004,Unscheduled downtime,Fleet,guardrail,Asset-hour,"SUM(unplanned_out_of_service_hours) / SUM(asset_calendar_hours_in_service_population)",fact_resource_day,tenant|asset|asset_type|period,Maintenance Manager,Confiabilidad,Separar accidente y mantenimiento,Weekly
FLT-005,MTBF,Fleet,outcome,Asset cohort,"SUM(operating_km_or_hours) / COUNT(eligible_functional_failure)",fact_resource_day;fact_defect,tenant|asset_type|model|period,Maintenance Manager,Reemplazo y prevención,Publicar unidad km u horas,Monthly
FLT-006,MTTR,Fleet,driver,Repair,"AVG(released_at - unavailability_started_at)",fact_maintenance_work_order,tenant|asset_type|failure_type|shop|period,Maintenance Manager,Taller,Mostrar waiting parts separately,Weekly
FLT-007,Vehicle cost per km,Fleet,outcome,Vehicle-period,"SUM(vehicle_attributable_cost) / SUM(reliable_vehicle_km)",fact_cost;fact_resource_day,tenant|vehicle|model|period,Fleet Controller,TCO y renovación,Mostrar cost completeness,Monthly
