event_type,producer,aggregate,consumers,purpose,classification
TenantProvisioned,BC-01,Tenant,PS-01;PS-07;Data,Inicializar tenant y controles,confidential
UserActivated,BC-01,User,PS-01;PS-04;PS-07,Activar acceso y onboarding,restricted
UserDeactivated,BC-01,User,PS-01;PS-03;PS-07,Revocar y reasignar responsabilidades,restricted
PolicyPublished,BC-01,Policy,All contexts;PS-03,Aplicar nueva política vigente,confidential
DecisionRecorded,BC-01/06,CorporateDecision,Data;Executive cockpit,Medir decisión y resultado,confidential
OpportunityOpened,BC-02,Opportunity,Data;PS-03,Iniciar seguimiento comercial,confidential
QuoteCosted,BC-02,QuoteVersion,PS-03;Data,Conservar costos y supuestos,confidential
QuoteApproved,BC-02,QuoteVersion,PS-04;Data,Habilitar envío de versión,confidential
QuoteSent,BC-02,QuoteVersion,PS-04;Data,Medir turnaround,confidential
QuoteChangesRequested,BC-02,QuoteVersion,PS-04;Data,Devolver a pricing sin contarlo como derrota comercial,confidential
QuoteAccepted,BC-02,QuoteVersion,BC-03;Data,Crear compromiso desde versión exacta,confidential
QuoteRejected,BC-02,QuoteVersion,PS-04;Data,Cerrar la versión como perdida ante el cliente,confidential
ContractActivated,BC-02,ContractVersion,BC-03;BC-05;PS-03;Data,Publicar reglas ejecutables,restricted
CreditHoldPlaced,BC-02,CreditProfile,BC-03;PS-03;PS-04,Bloquear compromisos según política,restricted
ServiceRequestSubmitted,BC-03,ServiceRequest,BC-02;PS-03;Data,Iniciar validación,confidential
ServiceRequestAccepted,BC-03,ServiceRequest,BC-03;Data,Habilitar orden,confidential
TransportOrderCommitted,BC-03,TransportOrder,BC-04;BC-05;Data,Formalizar demanda,confidential
TripPlanned,BC-03,Trip,BC-04;PS-03;Data,Evaluar asignación,confidential
ResourceAssigned,BC-03,Assignment,BC-04;PS-04;Data,Reservar capacidad,confidential
AssignmentConfirmed,BC-03,Assignment,BC-04;PS-04;Data,Confirmar disponibilidad,confidential
TripReleased,BC-03,Trip,Driver channel;Tracking;PS-04;Data,Autorizar ejecución,confidential
TripStarted,BC-03,Trip,Control tower;Customer portal;Data,Iniciar seguimiento,confidential
StopArrived,BC-03,StopExecution,Control tower;PS-03;PS-04;Data,Registrar llegada y dwell,confidential
DeliveryCompleted,BC-03,DeliveryOutcome,BC-05;PS-03;Customer portal;Data,Habilitar POD y cargos,confidential
DeliveryPartiallyCompleted,BC-03,DeliveryOutcome,BC-05;BC-06;PS-03;Data,Resolver diferencia y facturación,confidential
DeliveryFailed,BC-03,DeliveryOutcome,BC-06;PS-03;PS-04;Data,Activar contingencia,confidential
